| epoch   2 |  5600/ 9945 batches | lr 0.10 | ms/batch 17.39 | loss  6.29 | ppl   537.23
| epoch   2 |  5800/ 9945 batches | lr 0.10 | ms/batch 17.54 | loss  6.31 | ppl   550.57
| epoch   2 |  6000/ 9945 batches | lr 0.10 | ms/batch 17.57 | loss  6.33 | ppl   559.59
| epoch   2 |  6200/ 9945 batches | lr 0.10 | ms/batch 17.34 | loss  6.28 | ppl   532.47
| epoch   2 |  6400/ 9945 batches | lr 0.10 | ms/batch 17.69 | loss  6.37 | ppl   585.03
| epoch   2 |  6600/ 9945 batches | lr 0.10 | ms/batch 17.40 | loss  6.31 | ppl   549.13
| epoch   2 |  6800/ 9945 batches | lr 0.10 | ms/batch 17.48 | loss  6.32 | ppl   555.40
| epoch   2 |  7000/ 9945 batches | lr 0.10 | ms/batch 17.57 | loss  6.39 | ppl   598.09
| epoch   2 |  7200/ 9945 batches | lr 0.10 | ms/batch 17.54 | loss  6.15 | ppl   467.84
| epoch   2 |  7400/ 9945 batches | lr 0.10 | ms/batch 17.87 | loss  6.30 | ppl   543.46
| epoch   2 |  7600/ 9945 batches | lr 0.10 | ms/batch 18.39 | loss  6.29 | ppl   539.07
| epoch   2 |  7800/ 9945 batches | lr 0.10 | ms/batch 18.15 | loss  6.29 | ppl   540.37
| epoch   2 |  8000/ 9945 batches | lr 0.10 | ms/batch 18.30 | loss  6.29 | ppl   536.92
| epoch   2 |  8200/ 9945 batches | lr 0.10 | ms/batch 18.75 | loss  6.30 | ppl   544.79
| epoch   2 |  8400/ 9945 batches | lr 0.10 | ms/batch 18.84 | loss  6.30 | ppl   541.98
| epoch   2 |  8600/ 9945 batches | lr 0.10 | ms/batch 19.06 | loss  6.25 | ppl   520.25
| epoch   2 |  8800/ 9945 batches | lr 0.10 | ms/batch 19.02 | loss  6.23 | ppl   509.65
| epoch   2 |  9000/ 9945 batches | lr 0.10 | ms/batch 18.82 | loss  6.20 | ppl   494.74
| epoch   2 |  9200/ 9945 batches | lr 0.10 | ms/batch 18.35 | loss  6.32 | ppl   553.02
| epoch   2 |  9400/ 9945 batches | lr 0.10 | ms/batch 18.34 | loss  6.26 | ppl   523.43
| epoch   2 |  9600/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  6.19 | ppl   488.66
| epoch   2 |  9800/ 9945 batches | lr 0.10 | ms/batch 18.37 | loss  6.34 | ppl   564.69
Finished one epoch
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 178.14s | valid loss  6.29 | valid ppl   538.58
-----------------------------------------------------------------------------------------
| epoch   3 |   200/ 9945 batches | lr 0.10 | ms/batch 19.11 | loss  6.30 | ppl   544.81
| epoch   3 |   400/ 9945 batches | lr 0.10 | ms/batch 18.35 | loss  6.22 | ppl   504.73
| epoch   3 |   600/ 9945 batches | lr 0.10 | ms/batch 18.34 | loss  6.20 | ppl   492.53
| epoch   3 |   800/ 9945 batches | lr 0.10 | ms/batch 18.33 | loss  6.14 | ppl   464.44
| epoch   3 |  1000/ 9945 batches | lr 0.10 | ms/batch 18.95 | loss  6.26 | ppl   525.16
| epoch   3 |  1200/ 9945 batches | lr 0.10 | ms/batch 17.64 | loss  5.98 | ppl   396.36
| epoch   3 |  1400/ 9945 batches | lr 0.10 | ms/batch 17.44 | loss  6.19 | ppl   487.76
| epoch   3 |  1600/ 9945 batches | lr 0.10 | ms/batch 17.44 | loss  6.12 | ppl   454.69
| epoch   3 |  1800/ 9945 batches | lr 0.10 | ms/batch 17.27 | loss  6.16 | ppl   472.50
| epoch   3 |  2000/ 9945 batches | lr 0.10 | ms/batch 17.53 | loss  6.09 | ppl   443.43
| epoch   3 |  2200/ 9945 batches | lr 0.10 | ms/batch 18.52 | loss  6.12 | ppl   452.86
| epoch   3 |  2400/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  6.16 | ppl   475.27
| epoch   3 |  2600/ 9945 batches | lr 0.10 | ms/batch 18.35 | loss  6.16 | ppl   472.84
| epoch   3 |  2800/ 9945 batches | lr 0.10 | ms/batch 19.01 | loss  6.10 | ppl   443.98
| epoch   3 |  3000/ 9945 batches | lr 0.10 | ms/batch 18.43 | loss  6.17 | ppl   478.12
| epoch   3 |  3200/ 9945 batches | lr 0.10 | ms/batch 18.35 | loss  6.07 | ppl   432.12
| epoch   3 |  3400/ 9945 batches | lr 0.10 | ms/batch 18.37 | loss  6.16 | ppl   471.26
| epoch   3 |  3600/ 9945 batches | lr 0.10 | ms/batch 19.09 | loss  6.11 | ppl   449.88
| epoch   3 |  3800/ 9945 batches | lr 0.10 | ms/batch 18.59 | loss  6.14 | ppl   464.42
| epoch   3 |  4000/ 9945 batches | lr 0.10 | ms/batch 18.55 | loss  6.05 | ppl   425.11
| epoch   3 |  4200/ 9945 batches | lr 0.10 | ms/batch 18.99 | loss  6.17 | ppl   477.21
| epoch   3 |  4400/ 9945 batches | lr 0.10 | ms/batch 18.72 | loss  6.16 | ppl   473.98
| epoch   3 |  4600/ 9945 batches | lr 0.10 | ms/batch 18.97 | loss  6.12 | ppl   453.45
| epoch   3 |  4800/ 9945 batches | lr 0.10 | ms/batch 19.86 | loss  6.07 | ppl   431.59
