| epoch   2 |  4400/14918 batches | lr 0.10 | ms/batch 17.09 | loss  6.36 | ppl   575.54
| epoch   2 |  4600/14918 batches | lr 0.10 | ms/batch 17.15 | loss  6.28 | ppl   533.97
| epoch   2 |  4800/14918 batches | lr 0.10 | ms/batch 17.35 | loss  6.30 | ppl   543.07
| epoch   2 |  5000/14918 batches | lr 0.10 | ms/batch 17.10 | loss  6.24 | ppl   514.40
| epoch   2 |  5200/14918 batches | lr 0.10 | ms/batch 17.18 | loss  6.30 | ppl   544.05
| epoch   2 |  5400/14918 batches | lr 0.10 | ms/batch 17.14 | loss  6.11 | ppl   452.38
| epoch   2 |  5600/14918 batches | lr 0.10 | ms/batch 17.13 | loss  6.28 | ppl   536.33
| epoch   2 |  5800/14918 batches | lr 0.10 | ms/batch 17.70 | loss  6.20 | ppl   490.51
| epoch   2 |  6000/14918 batches | lr 0.10 | ms/batch 17.43 | loss  6.38 | ppl   589.58
| epoch   2 |  6200/14918 batches | lr 0.10 | ms/batch 17.26 | loss  6.33 | ppl   561.14
| epoch   2 |  6400/14918 batches | lr 0.10 | ms/batch 17.47 | loss  6.29 | ppl   539.44
| epoch   2 |  6600/14918 batches | lr 0.10 | ms/batch 17.09 | loss  6.21 | ppl   495.41
| epoch   2 |  6800/14918 batches | lr 0.10 | ms/batch 17.20 | loss  6.16 | ppl   474.42
| epoch   2 |  7000/14918 batches | lr 0.10 | ms/batch 17.35 | loss  6.20 | ppl   493.91
| epoch   2 |  7200/14918 batches | lr 0.10 | ms/batch 17.34 | loss  6.16 | ppl   471.80
| epoch   2 |  7400/14918 batches | lr 0.10 | ms/batch 18.21 | loss  6.24 | ppl   514.36
| epoch   2 |  7600/14918 batches | lr 0.10 | ms/batch 18.64 | loss  6.23 | ppl   505.68
| epoch   2 |  7800/14918 batches | lr 0.10 | ms/batch 17.94 | loss  6.28 | ppl   533.82
| epoch   2 |  8000/14918 batches | lr 0.10 | ms/batch 17.43 | loss  6.27 | ppl   528.87
| epoch   2 |  8200/14918 batches | lr 0.10 | ms/batch 17.72 | loss  6.28 | ppl   531.89
| epoch   2 |  8400/14918 batches | lr 0.10 | ms/batch 17.56 | loss  6.18 | ppl   482.50
| epoch   2 |  8600/14918 batches | lr 0.10 | ms/batch 17.31 | loss  6.11 | ppl   451.23
| epoch   2 |  8800/14918 batches | lr 0.10 | ms/batch 17.99 | loss  6.13 | ppl   457.75
| epoch   2 |  9000/14918 batches | lr 0.10 | ms/batch 17.99 | loss  6.24 | ppl   514.91
| epoch   2 |  9200/14918 batches | lr 0.10 | ms/batch 18.00 | loss  6.34 | ppl   565.71
| epoch   2 |  9400/14918 batches | lr 0.10 | ms/batch 18.04 | loss  6.28 | ppl   535.76
